Month,Typhoon 
2000-01,0
2000-02,0
2000-03,0
2000-04,0
2000-05,0
2000-06,0
2000-07,0
2000-08,1
2000-09,0
2000-10,1
2000-11,0
2000-12,0
2001-01,0
2001-02,0
2001-03,0
2001-04,0
2001-05,0
2001-06,1
2001-07,1
2001-08,0
2001-09,1
2001-10,0
2001-11,1
2001-12,0
2002-01,0
2002-02,0
2002-03,0
2002-04,0
2002-05,0
2002-06,0
2002-07,1
2002-08,0
2002-09,0
2002-10,0
2002-11,0
2002-12,0
2003-01,0
2003-02,0
2003-03,0
2003-04,1
2003-05,0
2003-06,1
2003-07,1
2003-08,1
2003-09,1
2003-10,0
2003-11,1
2003-12,0
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,1
2004-06,2
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,1
2004-12,1
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,1
2006-06,0
2006-07,1
2006-08,0
2006-09,1
2006-10,1
2006-11,2
2006-12,1
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,2
2007-09,1
2007-10,0
2007-11,3
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,1
2008-06,1
2008-07,2
2008-08,1
2008-09,2
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,1
2009-06,0
2009-07,0
2009-08,1
2009-09,0
2009-10,2
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,1
2010-08,0
2010-09,0
2010-10,1
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,1
2011-06,0
2011-07,1
2011-08,1
2011-09,2
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,0
2012-11,0
2012-12,1
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,1
2014-08,0
2014-09,1
2014-10,0
2014-11,0
2014-12,1
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,1
2015-06,0
2015-07,0
2015-08,1
2015-09,0
2015-10,1
2015-11,0
2015-12,1
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,1
2016-10,2
2016-11,1
2016-12,1
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,1
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,1
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,1
2018-10,1
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,1
2019-09,2
2019-10,0
2019-11,1
2019-12,2
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,1
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,2
2020-11,1
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,1
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,2
2021-10,0
2021-11,0
2021-12,1
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,0
2022-09,1
2022-10,0
2022-11,0
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,1
2023-07,0
2023-08,0
2023-09,0
2023-10,0
2023-11,0
2023-12,0
